,file_name,buggy_src_file,test_bench,eval_script,orig_file,proj_dir,oracle,simple_bug_description,simulation_output,simulation_input,AST,mismatch_list,fault_localization,bug_type,bug_description
10,fsm_full_ssscrazy_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/fsm_full_ssscrazy_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/fsm_full_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/run.sh,fsm_full.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/oracle.txt,Blocking instead of nonblocking assignments,,,,,,,Blocking instead of nonblocking assignments
11,lshift_reg_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/lshift_reg_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/lshift_reg_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/run.sh,lshift_reg.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/oracle.txt,Blocking instead of nonblocking assignments,,,,,,,Blocking instead of nonblocking assignments
12,lshift_reg_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/lshift_reg_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/lshift_reg_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/run.sh,lshift_reg.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/oracle.txt,Negated if-condition,,,,,,,Negated if-condition
13,lshift_reg_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/lshift_reg_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/lshift_reg_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/run.sh,lshift_reg.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/lshift_reg/oracle.txt,Incorrect sensitivity list ,,,,,,,Incorrect sensitivity list 
14,mux_4_1_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/mux_4_1_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/mux_4_1_tb.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/run.sh,mux_4_1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/oracle_new.txt,Three separate numeric errors ,,,,,,,Three separate numeric errors 
15,mux_4_1_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/mux_4_1_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/mux_4_1_tb.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/run.sh,mux_4_1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/oracle_new.txt,Hex instead of binary numbers,,,,,,,Hex instead of binary numbers
16,mux_4_1_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/mux_4_1_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/mux_4_1_tb.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/run.sh,mux_4_1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/mux_4_1/oracle_new.txt,1 bit instead of 4 bit output wire,,,,,,,1 bit instead of 4 bit output wire
17,i2c_slave_model_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/i2c_slave_model_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/tst_bench_top_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/run.sh,i2c_slave_model.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/oracle.txt,Incorrect sensitivity list ,,,,,,,Incorrect sensitivity list 
18,i2c_slave_model_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/i2c_slave_model_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/tst_bench_top_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/run.sh,i2c_slave_model.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/oracle.txt,Incorrect address assignment,,,,,,,Incorrect address assignment
19,i2c_master_bit_ctrl_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/i2c_master_bit_ctrl_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/tst_bench_top_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/run.sh,i2c_master_bit_ctrl.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/i2c/oracle.txt,Removed cmd_ack,,,,,,,Removed cmd_ack
20,keccak_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/keccak_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/test_keccak_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/run_keccak.sh,keccak.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/oracle_keccak.txt,Off-by-one error in loop ,,,,,,,Off-by-one error in loop 
21,keccak_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/keccak_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/test_keccak_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/run_keccak.sh,keccak.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/oracle_keccak.txt,Incorrect assignment to out_ready,,,,,,,Incorrect assignment to out_ready
22,padder_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/padder_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/test_padder_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/run_padder.sh,padder.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/oracle_padder.txt,Not checking for buffer overflow during assignment,,,,,,,Not checking for buffer overflow during assignment
23,round_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/round_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/test_keccak_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/run_keccak.sh,round.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/sha3/low_throughput_core/oracle_keccak.txt,Logical instead of bitwise negation,,,,,,,Logical instead of bitwise negation
24,tate_pairing_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/tate_pairing_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/test_duursma_lee_algo_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/run.sh,tate_pairing.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/oracle.txt,Incorrect logic for bitshifting ,,,,,,,Incorrect logic for bitshifting 
25,tate_pairing_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/tate_pairing_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/test_duursma_lee_algo_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/run.sh,tate_pairing.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/oracle.txt,> instead of >> for bitshifting,,,,,,,> instead of >> for bitshifting
26,tate_pairing_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/tate_pairing_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/test_duursma_lee_algo_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/run.sh,tate_pairing.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/pairing/oracle.txt,Incorrect instantiation of module,,,,,,,Incorrect instantiation of module
27,BM_lamda_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/BM_lamda_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/RS_dec_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/run.sh,BM_lamda.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/oracle.txt,Insufficient register size for decimal values,,,,,,,Insufficient register size for decimal values
28,out_stage_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/out_stage_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/RS_dec_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/run.sh,out_stage.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/opencores/reed_solomon_decoder/oracle.txt,Removed @posedge reset from senslist (sync vs async reset),,,,,,,Removed @posedge reset from senslist (sync vs async reset)
29,sdram_controller_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/sdram_controller_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/sdram_controller_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/run.sh,sdram_controller.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/oracle.txt,"wr_data_r not reset correctly, rd_data_r assigned incorrectly",,,,,,,"wr_data_r not reset correctly, rd_data_r assigned incorrectly"
30,sdram_controller_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/sdram_controller_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/sdram_controller_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/run.sh,sdram_controller.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/oracle.txt,Numeric error in parameter,,,,,,,Numeric error in parameter
31,sdram_controller_kgoliya_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/sdram_controller_kgoliya_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/sdram_controller_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/run.sh,sdram_controller.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/sdram_controller/oracle.txt,Default in case statement omitted,,,,,,,Default in case statement omitted
